id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
0610007P14Rik	ENSG00000133935	ERG28	11161	ERG28	4	0.54437	0.16563	0.375526	8610	0	-0.11549	0.4825	0.57873	1	9174	0	-0.11549
0610009B22Rik	ENSG00000196459	TRAPPC2	6399	TRAPPC2	4	0.3022	0.051426	0.256937	3847	0	-0.20343	0.73128	0.87357	1	13741	0	-0.20343
0610009O20Rik	ENSG00000081791	DELE1	9812	DELE1	4	0.76379	0.38597	0.553539	13639	0	0.058084	0.3477	0.41067	1	6644	0	0.058084
0610010B08Rik	ENSG00000132010	ZNF20	7568	ZNF20	4	0.00011143	2.5161e-07	7e-06	520	3	-1.1695	0.048384	0.047434	0.945741	947	0	-1.1695
0610010F05Rik	ENSG00000162929	SANBR	84542	SANBR	4	0.53359	0.14803	0.345442	8369	0	-0.073874	0.82541	0.9335	1	15427	0	-0.073874
0610010K14Rik	ENSG00000258315	C17orf49	124944	C17orf49	4	0.74651	0.36592	0.543476	13238	0	-0.0077394	0.60375	0.74462	1	11375	0	-0.0077394
0610011F06Rik	ENSG00000130731	METTL26	84326	METTL26	4	0.83425	0.49269	0.629743	15362	0	0.10936	0.37482	0.43731	1	7141	0	0.10936
0610030E20Rik	ENSG00000168887	C2orf68	388969	C2orf68	4	0.2653	0.035791	0.219372	3227	1	0.073175	0.090703	0.089278	0.954661	1759	0	0.073175
0610040J01Rik	ENSG00000154274	C4orf19	55286	C4orf19	4	0.27905	0.047518	0.246098	3455	0	0.0978	0.11446	0.11523	0.954661	2219	0	0.0978
1110001J03Rik	ENSG00000164898	FMC1	154791	FMC1	4	0.6643	0.2822	0.483174	11309	0	-0.061574	0.10299	0.10057	0.954661	2003	0	-0.061574
1110004E09Rik	ENSG00000159079	CFAP298	56683	CFAP298	4	0.022779	0.00039881	0.005929	1270	2	-0.41758	0.99862	0.99999	1	18747	0	-0.41758
1110004F10Rik	ENSG00000110696	C11orf58	10944	C11orf58	4	0.51742	0.14445	0.345442	8005	0	0.057065	0.49191	0.59121	1	9344	0	0.057065
1110007C09Rik	ENSG00000165233	CARD19	84270	CARD19	4	0.75578	0.38024	0.553539	13452	0	-0.056337	0.92989	0.98469	1	17253	0	-0.056337
1110008F13Rik	ENSG00000101084	RAB5IF	55969	RAB5IF	4	0.23828	0.031901	0.213922	2841	1	-0.11182	0.97781	0.99874	1	18068	0	-0.11182
1110008L16Rik	ENSG00000100890	PRORP	9692	PRORP	4	0.64281	0.26314	0.477655	10813	0	-0.060143	0.68011	0.83986	1	12788	0	-0.060143
1110008P14Rik	ENSG00000171159	BBLN	79095	BBLN	4	0.89187	0.65878	0.771422	16785	0	-0.033372	0.83746	0.94055	1	15636	0	-0.033372
1110012L19Rik	ENSG00000197620	EOLA1	91966	EOLA1	4	0.98429	0.94112	0.962933	19219	0	0.26766	0.07905	0.078161	0.954661	1535	0	0.26766
1110017D15Rik	ENSG00000164972	SPMIP6	84688	SPMIP6	4	0.28094	0.047518	0.246098	3491	0	0.12786	0.40016	0.48548	1	7631	0	0.12786
1110025L11Rik	ENSG00000212938	KRTAP6-3	337968	KRTAP6-3	4	0.10187	0.020213	0.17352	1683	1	-0.043592	0.44763	0.53955	1	8524	0	-0.043592
1110032A03Rik	ENSG00000137720	CFAP68	64776	CFAP68	4	0.97748	0.92129	0.951763	19042	0	0.14209	0.2747	0.30367	1	5263	0	0.14209
1110032F04Rik	ENSG00000180044	C3orf80	401097	C3orf80	4	0.95765	0.85507	0.907902	18522	0	0.1056	0.6738	0.83366	1	12678	0	0.1056
1110034G24Rik	ENSG00000171984	SHLD1	149840	SHLD1	4	0.95026	0.83629	0.8978	18326	0	0.071252	0.39295	0.46552	1	7486	0	0.071252
1110037F02Rik	ENSG00000164944	VIRMA	25962	VIRMA	4	0.021984	0.00039881	0.005929	1254	2	-0.3544	0.91962	0.98184	1	17077	0	-0.3544
1110038F14Rik	ENSG00000182307	C8orf33	65265	C8orf33	4	0.41203	0.089363	0.296698	5867	0	-0.078731	0.77551	0.90158	1	14543	0	-0.078731
1110051M20Rik	ENSG00000149179	CSTPP1	79096	CSTPP1	4	0.92675	0.77257	0.858434	17707	0	0.083301	0.29209	0.33388	1	5595	0	0.083301
1110059E24Rik	ENSG00000155621	C9orf85	138241	C9orf85	4	0.56395	0.17617	0.377448	9047	0	-0.012993	0.31257	0.36322	1	5977	0	-0.012993
1110059G10Rik	ENSG00000163807	KIAA1143	57456	KIAA1143	4	0.9153	0.7207	0.814326	17424	0	0.058241	0.75454	0.88981	1	14160	0	0.058241
1110065P20Rik	ENSG00000197982	C1orf122	127687	C1orf122	4	0.83844	0.50233	0.639332	15463	0	-0.00061579	0.11377	0.11523	0.954661	2206	0	-0.00061579
1190002N15Rik	ENSG00000181744	DIPK2A	205428	DIPK2A	2	0.48503	0.197	0.414815	7360	0	0.03195	0.30968	0.40663	1	5927	0	0.03195
1190003K10Rik	ENSG00000283329	FAM240B	110806297	FAM240B	4	0.68327	0.28848	0.483174	11761	0	0.011458	0.1611	0.16233	0.954661	3110	0	0.011458
1190005I06Rik	ENSG00000154102	C16orf74	404550	C16orf74	4	0.88384	0.63849	0.756266	16594	0	0.039018	0.47049	0.56803	1	8953	0	0.039018
1190007I07Rik	ENSG00000204954	UQCC6	728568	UQCC6	4	0.6232	0.24379	0.462962	10350	0	-0.021147	0.10024	0.10057	0.954661	1946	0	-0.021147
1200014J11Rik	ENSG00000074356	NCBP3	55421	NCBP3	4	0.71659	0.34579	0.534018	12548	0	-0.050906	0.42905	0.51892	1	8171	0	-0.050906
1300017J02Rik	NA	NA	NA	NA	4	0.9178	0.73296	0.824433	17485	0	0.037638	0.86241	0.95341	1	16080	0	0.037638
1500009L16Rik	ENSG00000235162	C12orf75	387882	C12orf75	4	0.0843	0.020213	0.17352	1628	1	-0.063924	0.65272	0.80714	1	12288	0	-0.063924
1500012F01Rik	ENSG00000177410	ZFAS1	441951	ZFAS1	4	0.82016	0.47297	0.62108	15000	0	-0.0068916	0.5798	0.72375	1	10935	0	-0.0068916
1500015O10Rik	ENSG00000119147	ECRG4	84417	ECRG4	4	0.4555	0.11526	0.326812	6741	0	0.07631	0.20214	0.2106	1	3884	0	0.07631
1600002H07Rik	ENSG00000162062	TEDC2	80178	TEDC2	4	0.8018	0.45273	0.604679	14547	0	0.13611	0.11878	0.11886	0.954661	2302	0	0.13611
1600002K03Rik	ENSG00000228300	FAM174C	55009	FAM174C	4	0.36264	0.074286	0.271316	4915	0	-0.20855	0.74624	0.88507	1	14005	0	-0.20855
1600012H06Rik	ENSG00000185127	C6orf120	387263	C6orf120	4	0.70466	0.33099	0.526794	12260	0	-0.090049	0.96948	0.99742	1	17914	0	-0.090049
