mgi_symbol	ensembl_gene_id	hgnc_symbol
0610010K14Rik	ENSG00000258315	C17orf49
0610030E20Rik	ENSG00000168887	C2orf68
0610040J01Rik	ENSG00000154274	C4orf19
1110004F10Rik	ENSG00000110696	C11orf58
1110017D15Rik	ENSG00000164972	SPMIP6
1110032F04Rik	ENSG00000180044	C3orf80
1110038F14Rik	ENSG00000182307	C8orf33
1110059E24Rik	ENSG00000155621	C9orf85
1110059G10Rik	ENSG00000163807	KIAA1143
1110065P20Rik	ENSG00000197982	C1orf122
1190005I06Rik	ENSG00000154102	C16orf74
1500009L16Rik	ENSG00000235162	C12orf75
1600012H06Rik	ENSG00000185127	C6orf120
1600014C10Rik	ENSG00000131943	C19orf12
1700001C19Rik	ENSG00000287363	CIMIP3
1700001O22Rik	ENSG00000179058	C9orf50
1700001P01Rik	ENSG00000275489	SPMAP1
1700003E16Rik	ENSG00000284308	C2orf81
1700003F12Rik	ENSG00000149609	C20orf144
1700008O03Rik	ENSG00000235034	C19orf81
1700010I14Rik	ENSG00000112539	C6orf118
1700011L22Rik	ENSG00000237136	C4orf51
1700012B09Rik	ENSG00000257057	C11orf97
1700016C15Rik	ENSG00000173728	SPMIP3
1700016H13Rik	ENSG00000163633	C4orf36
1700017B05Rik	ENSG00000167173	C15orf39
1700018B08Rik	ENSG00000260456	C16orf95
1700019D03Rik	ENSG00000187699	C2orf88
1700019N19Rik	ENSG00000165863	SPMIP5
1700020A23Rik	ENSG00000258713	C20orf141
1700020L24Rik	ENSG00000270806	C17orf50
1700021F07Rik	ENSG00000124237	CIMIP1
1700022I11Rik	ENSG00000174038	C9orf131
1700024G13Rik	ENSG00000178645	C10orf53
1700025G04Rik	ENSG00000116667	C1orf21
1700028K03Rik	ENSG00000203910	C1orf146
1700029H14Rik	ENSG00000283199	C13orf46
1700029J07Rik	ENSG00000205129	CFAP96
1700030J22Rik	ENSG00000166455	C16orf46
1700030K09Rik	ENSG00000105072	C19orf44
1700034E13Rik	ENSG00000250803	ZNF475
1700034J05Rik	ENSG00000214700	C12orf71
1700037C18Rik	ENSG00000215131	C16orf90
1700066M21Rik	ENSG00000178074	C2orf69
1700067K01Rik	ENSG00000188032	C19orf67
1700088E04Rik	ENSG00000128346	C22orf23
1700093K21Rik	ENSG00000237651	C2orf74
1700102P08Rik	ENSG00000188315	C3orf62
1700113H08Rik	ENSG00000179088	C12orf42
1700123O20Rik	ENSG00000179933	C14orf119
1810009A15Rik	ENSG00000278615	C11orf98
1810030O07Rik	ENSG00000185753	CXorf38
1810037I17Rik	ENSG00000164096	C4orf3
1810055G02Rik	ENSG00000171067	C11orf24
2010003K11Rik	ENSG00000173237	C11orf86
2200002D01Rik	ENSG00000167644	C19orf33
2210016L21Rik	ENSG00000157895	C12orf43
2210408I21Rik	ENSG00000185261	KIAA0825
2300002M23Rik	ENSG00000204542	C6orf15
2300009A05Rik	ENSG00000189227	C15orf61
2310009B15Rik	ENSG00000203724	C1orf53
2310011J03Rik	ENSG00000119559	C19orf25
2310022A10Rik	ENSG00000160392	C19orf47
2310022B05Rik	ENSG00000119280	C1orf198
2310030G06Rik	ENSG00000149300	C11orf52
2310033P09Rik	ENSG00000143793	C1orf35
2310034C09Rik	ENSG00000182816	KRTAP13-2
2310039H08Rik	ENSG00000221821	C6orf226
2310057J18Rik	ENSG00000184530	C6orf58
2310057M21Rik	ENSG00000119965	C10orf88
2310061I04Rik	ENSG00000204564	C6orf136
2410002F23Rik	ENSG00000167747	C19orf48P
2410004B18Rik	ENSG00000162642	C1orf52
2410004P03Rik	ENSG00000150873	C2orf50
2510002D24Rik	ENSG00000242259	C22orf39
2510009E07Rik	ENSG00000187068	C3orf70
2510039O18Rik	ENSG00000116685	KIAA2013
2610028H24Rik	ENSG00000160298	C21orf58
2610528J11Rik	ENSG00000253313	C1orf210
2700049A03Rik	ENSG00000100578	KIAA0586
2700062C07Rik	ENSG00000141428	C18orf21
2810004N23Rik	ENSG00000143633	C1orf131
2810459M11Rik	ENSG00000204128	C2orf72
2900026A02Rik	ENSG00000197077	KIAA1671
2900092C05Rik	ENSG00000177025	C19orf18
3110009E18Rik	ENSG00000186132	C2orf76
3110040N11Rik	ENSG00000169609	C15orf40
3110082I17Rik	ENSG00000146540	C7orf50
3425401B19Rik	ENSG00000177354	C10orf71
4833420G17Rik	ENSG00000172244	C5orf34
4833439L19Rik	ENSG00000122203	KIAA1191
4921504E06Rik	ENSG00000179133	C10orf67
4921507P07Rik	ENSG00000153790	SPMIP4
4921517D22Rik	ENSG00000187753	C9orf153
4921524J17Rik	ENSG00000155330	C16orf87
4921536K21Rik	ENSG00000187658	C5orf52
4921539E11Rik	ENSG00000203963	C1orf141
4930407I10Rik	ENSG00000184208	C22orf46P
4930447C04Rik	ENSG00000179008	C14orf39
4930451I11Rik	ENSG00000167194	C16orf92
4930453N24Rik	ENSG00000179021	C3orf38
4930503B20Rik	ENSG00000203943	SAMD13
4930503L19Rik	ENSG00000166845	C18orf54
4930505A04Rik	ENSG00000177994	C2orf73
4930522H14Rik	ENSG00000204006	C1orf185
4930523C07Rik	ENSG00000235750	KIAA0040
4930524B15Rik	ENSG00000185056	C5orf47
4930544D05Rik	ENSG00000205710	C17orf107
4930550C14Rik	ENSG00000166323	C11orf65
4930558K02Rik	ENSG00000180999	C1orf105
4930562C15Rik	ENSG00000205832	C16orf96
4930578I06Rik	ENSG00000171060	C8orf74
4930579F01Rik	ENSG00000138813	C4orf17
4930579G24Rik	ENSG00000205208	C4orf46
4930590J08Rik	ENSG00000131379	C3orf20
4930595M18Rik	ENSG00000263465	SRSF8
4931406C07Rik	ENSG00000182919	C11orf54
4931414P19Rik	ENSG00000100802	C14orf93
4932438H23Rik	ENSG00000205929	C21orf62
4933402J07Rik	ENSG00000166152	C16orf78
4933402N03Rik	ENSG00000183559	C10orf120
4933405L10Rik	ENSG00000159761	C16orf86
4933411K16Rik	ENSG00000203942	C10orf62
4933427D14Rik	ENSG00000198920	KIAA0753
