id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
0610007P14Rik	ENSG00000133935	ERG28	11161	ERG28	4	0.14682	0.13799	0.675016	4017	2	-0.27166	0.92325	0.93024	1	17520	0	0
0610009B22Rik	ENSG00000196459	TRAPPC2	6399	TRAPPC2	3	0.88122	0.87458	1	16693	0	0	0.28453	0.29447	0.928093	7068	1	0.22749
0610009O20Rik	ENSG00000081791	DELE1	9812	DELE1	4	0.26272	0.28578	0.856817	6458	2	-0.18491	0.9529	0.95913	1	18115	0	0
0610010B08Rik	ENSG00000132010	ZNF20	7568	ZNF20	4	0.1348	0.1298	0.667649	3803	1	-0.34205	0.82769	0.83542	1	15596	0	0
0610010F05Rik	ENSG00000162929	SANBR	84542	SANBR	4	0.037573	0.032617	0.322162	1970	3	-0.19696	0.033556	0.070867	0.780877	1758	1	0.40466
0610010K14Rik	ENSG00000258315	C17orf49	124944	C17orf49	4	0.0054688	0.0039742	0.08293	932	2	-0.49133	0.96282	0.96687	1	18343	0	0
0610011F06Rik	ENSG00000130731	METTL26	84326	METTL26	4	0.42122	0.38762	0.920281	8247	1	-0.21424	0.7675	0.77819	1	14521	0	0
0610030E20Rik	ENSG00000168887	C2orf68	388969	C2orf68	4	0.012264	0.009312	0.152805	1188	3	-0.26833	0.97637	0.98251	1	18626	0	0
0610040J01Rik	ENSG00000154274	C4orf19	55286	C4orf19	4	0.80472	0.76128	0.992599	14993	0	0	0.66585	0.65294	1	12623	0	0
1110001J03Rik	ENSG00000164898	FMC1	154791	FMC1	4	0.52591	0.48743	0.982008	9612	1	-0.12674	0.20377	0.29296	0.928093	5986	1	0.26738
1110004E09Rik	ENSG00000159079	CFAP298	56683	CFAP298	4	0.0013829	0.00082252	0.027062	597	3	-0.9686	0.78311	0.79584	1	14810	0	0
1110004F10Rik	ENSG00000110696	C11orf58	10944	C11orf58	4	0.16958	0.16777	0.730088	4469	2	-0.15954	0.9512	0.95693	1	18090	0	0
1110007C09Rik	ENSG00000165233	CARD19	84270	CARD19	4	0.66135	0.60372	0.988875	11891	1	-0.10862	0.45959	0.45797	0.94163	9227	1	0.15763
