id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
A1BG	ENSG00000121410	A1BG	1	A1BG	12	0.93166	0.95386	1	17736	1	0.34921	0.00044588	0.0034503	0.252189	257	8	0.34921
A1CF	ENSG00000148584	A1CF	29974	A1CF	12	0.80042	0.88666	1	16380	2	0.028391	0.42507	0.73136	1	12368	4	0.028391
A2M	ENSG00000175899	A2M	2	A2M	12	0.31906	0.51113	0.918229	10494	3	0.15723	0.14234	0.40407	1	6867	6	0.15723
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	12	0.13336	0.26426	0.770844	6464	4	-0.11137	0.46668	0.7612	1	12880	4	-0.11137
A3GALT2	ENSG00000184389	A3GALT2	127550	A3GALT2	12	0.81663	0.89198	1	16502	2	0.33483	0.047862	0.18509	0.976035	3574	6	0.33483
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	12	0.080891	0.16301	0.646945	4764	6	-0.17527	0.35644	0.68697	1	11425	4	-0.17527
A4GNT	ENSG00000118017	A4GNT	51146	A4GNT	12	0.019435	0.044854	0.394946	2140	5	-0.12648	0.53578	0.8143	1	13798	4	-0.12648
AAAS	ENSG00000094914	AAAS	8086	AAAS	12	0.3522	0.54092	0.932033	10945	4	0.11157	0.15256	0.4214	1	7157	6	0.11157
AACS	ENSG00000081760	AACS	65985	AACS	12	0.0086073	0.019158	0.274309	1320	7	-0.24531	0.99914	0.99949	1	18873	0	-0.24531
AADAC	ENSG00000114771	AADAC	13	AADAC	12	0.19799	0.3532	0.827043	8021	4	0.16458	0.013475	0.066879	0.755414	1642	6	0.16458
AADACL2	ENSG00000197953	AADACL2	344752	AADACL2	12	0.5896	0.75495	1	14137	3	0.013502	0.36161	0.69244	1	11513	3	0.013502
AADACL3	ENSG00000188984	AADACL3	126767	AADACL3	12	0.19746	0.35287	0.827043	8013	4	0.069857	0.079508	0.26623	1	4864	4	0.069857
AADACL4	ENSG00000204518	AADACL4	343066	AADACL4	12	0.045674	0.11221	0.60171	3518	6	-0.25507	0.99893	0.99935	1	18864	0	-0.25507
AADAT	ENSG00000109576	AADAT	51166	AADAT	12	0.55706	0.73822	1	13824	1	0.19727	0.029827	0.13158	0.9219	2647	7	0.19727
AAED1	ENSG00000158122	PRXL2C	195827	PRXL2C	12	0.62911	0.77931	1	14527	3	0.011915	0.12682	0.36495	1	6362	3	0.011915
AAGAB	ENSG00000103591	AAGAB	79719	AAGAB	12	0.038127	0.096261	0.572219	3128	5	-0.0025142	0.23704	0.54485	1	9127	5	-0.0025142
AAK1	ENSG00000115977	AAK1	22848	AAK1	12	0.20919	0.36782	0.839623	8266	3	0.020746	0.36447	0.69464	1	11563	5	0.020746
AAMDC	ENSG00000087884	AAMDC	28971	AAMDC	12	0.43263	0.61483	0.962598	12048	4	0.19639	0.071803	0.25562	1	4602	6	0.19639
AAMP	ENSG00000127837	AAMP	14	AAMP	12	0.09057	0.18903	0.692752	5097	6	-0.25461	0.42906	0.73425	1	12411	2	-0.25461
AANAT	ENSG00000129673	AANAT	15	AANAT	12	0.041299	0.10059	0.572219	3288	4	0.024361	0.20563	0.50234	1	8470	4	0.024361
AAR2	ENSG00000131043	AAR2	25980	AAR2	12	0.53509	0.71842	0.998288	13546	3	0.13044	0.1133	0.33634	1	5966	6	0.13044
AARD	ENSG00000205002	AARD	441376	AARD	12	0.44034	0.62134	0.964133	12156	3	0.088169	0.18012	0.4713	1	7960	5	0.088169
AARS	ENSG00000090861	AARS1	16	AARS1	12	0.67597	0.80754	1	14993	2	0.035724	0.66997	0.88348	1	15361	3	0.035724
AARS2	ENSG00000124608	AARS2	57505	AARS2	12	0.4622	0.64109	0.971361	12452	3	0.085113	0.21372	0.51159	1	8622	5	0.085113
AARSD1	ENSG00000266967	AARSD1	80755	AARSD1	12	0.25589	0.43192	0.875586	9282	2	0.12732	0.072607	0.25647	1	4636	6	0.12732
AASDH	ENSG00000157426	AASDH	132949	AASDH	12	0.063403	0.14023	0.632989	4178	3	0.01205	0.080267	0.26768	1	4880	5	0.01205
AASDHPPT	ENSG00000149313	AASDHPPT	60496	AASDHPPT	12	0.063603	0.14023	0.632989	4185	6	-0.18995	0.61302	0.86243	1	14812	2	-0.18995
AASS	ENSG00000008311	AASS	10157	AASS	12	0.68944	0.81802	1	15152	3	0.017185	0.69643	0.89545	1	15607	3	0.017185
AATF	ENSG00000275700	AATF	26574	AATF	12	0.29631	0.48374	0.903614	10088	5	-0.040967	0.087299	0.28281	1	5103	5	-0.040967
AATK	ENSG00000181409	AATK	9625	AATK	12	0.20337	0.35688	0.827043	8141	4	-0.093141	0.021281	0.10123	0.876676	2169	2	-0.093141
ABAT	ENSG00000183044	ABAT	18	ABAT	12	0.079283	0.16071	0.644558	4709	6	-0.22381	0.41222	0.72236	1	12173	4	-0.22381
ABCA1	ENSG00000165029	ABCA1	19	ABCA1	12	0.99942	0.99893	1	18873	0	0.27951	0.011025	0.051517	0.663746	1453	8	0.27951
ABCA10	ENSG00000154263	ABCA10	10349	ABCA10	12	0.43029	0.61284	0.962598	12011	2	0.16193	0.16373	0.44505	1	7532	6	0.16193
ABCA12	ENSG00000144452	ABCA12	26154	ABCA12	12	0.4891	0.66752	0.982876	12822	4	-0.11902	0.077291	0.26308	1	4790	5	-0.11902
ABCA13	ENSG00000179869	ABCA13	154664	ABCA13	12	0.15832	0.30187	0.799799	7107	2	0.13396	0.32208	0.64939	1	10774	5	0.13396
ABCA2	ENSG00000107331	ABCA2	20	ABCA2	12	0.26924	0.4499	0.887186	9564	4	-0.039463	0.40571	0.71921	1	12086	3	-0.039463
ABCA3	ENSG00000167972	ABCA3	21	ABCA3	12	0.14724	0.29275	0.799799	6845	4	0.14613	0.00042797	0.0032664	0.241549	254	6	0.14613
ABCA4	ENSG00000198691	ABCA4	24	ABCA4	12	0.98353	0.97682	1	18302	1	0.025511	0.47287	0.76763	1	12962	3	0.025511
ABCA5	ENSG00000154265	ABCA5	23461	ABCA5	12	0.14689	0.29275	0.799799	6836	4	0.21639	0.076078	0.26172	1	4745	6	0.21639
ABCA6	ENSG00000154262	ABCA6	23460	ABCA6	12	0.78055	0.8794	1	16260	2	0.12372	0.073491	0.2578	1	4664	5	0.12372
ABCA7	ENSG00000064687	ABCA7	10347	ABCA7	12	0.79266	0.88524	1	16330	2	0.10831	0.33618	0.66514	1	11023	4	0.10831
ABCA8	ENSG00000141338	ABCA8	10351	ABCA8	12	0.23464	0.39724	0.849456	8835	4	0.14931	0.18088	0.47251	1	7983	5	0.14931
ABCA9	ENSG00000154258	ABCA9	10350	ABCA9	12	0.60961	0.76906	1	14325	3	0.070936	0.099179	0.30588	1	5510	4	0.070936
ABCB1	ENSG00000085563	ABCB1	5243	ABCB1	12	0.82515	0.89581	1	16586	2	0.10504	0.16658	0.44936	1	7613	5	0.10504
ABCB10	ENSG00000135776	ABCB10	23456	ABCB10	12	0.00044269	0.0010735	0.069122	292	4	0.050013	0.048635	0.19122	0.994658	3612	5	0.050013
ABCB11	ENSG00000073734	ABCB11	8647	ABCB11	12	0.037439	0.094787	0.572219	3093	5	0.050716	0.062482	0.23044	1	4256	5	0.050716
ABCB4	ENSG00000005471	ABCB4	5244	ABCB4	12	0.53777	0.71956	0.998288	13586	4	0.03826	0.0020361	0.011789	0.404317	548	6	0.03826
ABCB5	ENSG00000004846	ABCB5	340273	ABCB5	12	0.65386	0.79116	1	14780	3	0.14804	0.31796	0.64596	1	10693	5	0.14804
ABCB6	ENSG00000115657	ABCB6	10058	ABCB6	12	0.017012	0.040484	0.384714	1983	5	-0.14378	0.99687	0.99812	1	18770	0	-0.14378
ABCB7	ENSG00000131269	ABCB7	22	ABCB7	12	0.19899	0.3532	0.827043	8045	3	0.046413	0.10471	0.31743	1	5676	4	0.046413
