id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
Aatf	ENSG00000275700	AATF	26574	AATF	4	0.62556	0.45928	0.761911	291	0	0.0097474	0.35333	0.13647	0.34883	148	0	0.0097474
Actn1	ENSG00000072110	ACTN1	87	ACTN1	4	0.69483	0.54653	0.764856	331	0	0.00033881	0.082329	4.9652e-06	2.6e-05	31	0	0.00033881
Actn4	ENSG00000130402	ACTN4	81	ACTN4	4	0.3803	0.257	0.590636	163	0	0.0044303	0.54401	0.45906	0.766642	237	0	0.0044303
Aebp2	ENSG00000139154	AEBP2	121536	AEBP2	4	0.63785	0.45928	0.761911	300	0	-0.0088444	0.63785	0.45907	0.766642	288	0	-0.0088444
Aes	ENSG00000104964	TLE5	166	TLE5	4	0.54178	0.36575	0.727148	248	0	-0.010249	0.90965	0.89386	1	442	0	-0.010249
Ahctf1	ENSG00000153207	AHCTF1	25909	AHCTF1	4	0.80178	0.68344	0.853891	387	0	-0.0066293	0.83869	0.73944	0.913482	401	0	-0.0066293
Aip	ENSG00000110711	AIP	9049	AIP	4	0.48228	0.257	0.590636	217	0	-0.0070661	0.75332	0.61819	0.887432	349	0	-0.0070661
Ankra2	ENSG00000164331	ANKRA2	57763	ANKRA2	4	0.62075	0.45928	0.761911	288	0	0.00019325	0.42908	0.13647	0.34883	180	0	0.00019325
Apbb3	ENSG00000113108	APBB3	10307	APBB3	4	0.5429	0.36575	0.727148	249	0	0.0012219	0.6246	0.45907	0.766642	282	0	0.0012219
Apex1	ENSG00000100823	APEX1	328	APEX1	4	0.38169	0.257	0.590636	164	0	-0.0086384	0.38587	0.13647	0.34883	163	0	-0.0086384
Arap1	ENSG00000186635	ARAP1	116985	ARAP1	4	0.79819	0.68344	0.853891	384	0	0.0082102	0.59499	0.45906	0.766642	267	0	0.0082102
Arid3b	ENSG00000179361	ARID3B	10620	ARID3B	4	0.68821	0.54653	0.764856	326	0	0.0073874	0.70296	0.61818	0.887432	320	0	0.0073874
Arid5b	ENSG00000150347	ARID5B	84159	ARID5B	4	0.044246	0.007135	0.127665	27	1	-0.021903	0.93535	0.91776	1	451	0	-0.021903
