id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	Enrichment
A1BG	ENSG00000121410	A1BG	1	A1BG	-0.437155
A1CF	ENSG00000148584	A1CF	29974	A1CF	-0.74275
A2M	ENSG00000175899	A2M	2	A2M	-0.102865
A2ML1	ENSG00000166535	A2ML1	144568	A2ML1	-0.287095
A3GALT2	ENSG00000184389	A3GALT2	127550	A3GALT2	-0.54456
A4GALT	ENSG00000128274	A4GALT	53947	A4GALT	0.669265
A4GNT	ENSG00000118017	A4GNT	51146	A4GNT	-1.8212
AAAS	ENSG00000094914	AAAS	8086	AAAS	0.87308
AACS	ENSG00000081760	AACS	65985	AACS	-1.535075
AADAC	ENSG00000114771	AADAC	13	AADAC	0.11202
AADACL2	ENSG00000197953	AADACL2	344752	AADACL2	-0.7056725
AADACL3	ENSG00000188984	AADACL3	126767	AADACL3	0.53428
AADACL4	ENSG00000204518	AADACL4	343066	AADACL4	-0.177775
AADAT	ENSG00000109576	AADAT	51166	AADAT	1.27385
AAED1	ENSG00000158122	PRXL2C	195827	PRXL2C	0.1552615
AAGAB	ENSG00000103591	AAGAB	79719	AAGAB	-0.548835
AAK1	ENSG00000115977	AAK1	22848	AAK1	-0.217425
AAMDC	ENSG00000087884	AAMDC	28971	AAMDC	0.30298
AAMP	ENSG00000127837	AAMP	14	AAMP	-0.575865
AANAT	ENSG00000129673	AANAT	15	AANAT	0.1377055
AAR2	ENSG00000131043	AAR2	25980	AAR2	-0.4211
AARD	ENSG00000205002	AARD	441376	AARD	0.8940275
AARS	ENSG00000090861	AARS1	16	AARS1	0.0285635
AARS2	ENSG00000124608	AARS2	57505	AARS2	0.4722275
AARSD1	ENSG00000266967	AARSD1	80755	AARSD1	-0.05165
AASDH	ENSG00000157426	AASDH	132949	AASDH	1.573975
AASDHPPT	ENSG00000149313	AASDHPPT	60496	AASDHPPT	-0.295713
AASS	ENSG00000008311	AASS	10157	AASS	-0.740545
AATF	ENSG00000275700	AATF	26574	AATF	-0.89206
AATK	ENSG00000181409	AATK	9625	AATK	-1.182425
ABAT	ENSG00000183044	ABAT	18	ABAT	0.3798525
ABCA1	ENSG00000165029	ABCA1	19	ABCA1	0.337495
ABCA10	ENSG00000154263	ABCA10	10349	ABCA10	0.12791
ABCA12	ENSG00000144452	ABCA12	26154	ABCA12	-0.540315
ABCA13	ENSG00000179869	ABCA13	154664	ABCA13	-0.598305
ABCA2	ENSG00000107331	ABCA2	20	ABCA2	1.472
ABCA3	ENSG00000167972	ABCA3	21	ABCA3	0.0681
ABCA4	ENSG00000198691	ABCA4	24	ABCA4	0.1663
ABCA5	ENSG00000154265	ABCA5	23461	ABCA5	1.39614
ABCA6	ENSG00000154262	ABCA6	23460	ABCA6	-0.286675
ABCA7	ENSG00000064687	ABCA7	10347	ABCA7	-0.590195
ABCA8	ENSG00000141338	ABCA8	10351	ABCA8	-0.38667
ABCA9	ENSG00000154258	ABCA9	10350	ABCA9	0.47888
ABCB1	ENSG00000085563	ABCB1	5243	ABCB1	0.044765
ABCB10	ENSG00000135776	ABCB10	23456	ABCB10	-0.1050595
ABCB11	ENSG00000073734	ABCB11	8647	ABCB11	0.01917
ABCB4	ENSG00000005471	ABCB4	5244	ABCB4	-0.41237
ABCB5	ENSG00000004846	ABCB5	340273	ABCB5	0.14455
ABCB6	ENSG00000115657	ABCB6	10058	ABCB6	-0.70317
ABCB7	ENSG00000131269	ABCB7	22	ABCB7	0.286775
ABCB8	ENSG00000197150	ABCB8	11194	ABCB8	0.5011175
ABCB9	ENSG00000150967	ABCB9	23457	ABCB9	0.212405
ABCC1	ENSG00000103222	ABCC1	4363	ABCC1	-0.816345
ABCC10	ENSG00000124574	ABCC10	89845	ABCC10	0.143135
ABCC11	ENSG00000121270	ABCC11	85320	ABCC11	0.6969
ABCC12	ENSG00000140798	ABCC12	94160	ABCC12	0.070920285
ABCC2	ENSG00000023839	ABCC2	1244	ABCC2	0.230575
ABCC3	ENSG00000108846	ABCC3	8714	ABCC3	-0.77464
ABCC4	ENSG00000125257	ABCC4	10257	ABCC4	-0.84759
ABCC5	ENSG00000114770	ABCC5	10057	ABCC5	0.09511
ABCC6	ENSG00000091262	ABCC6	368	ABCC6	0.92075
ABCC8	ENSG00000006071	ABCC8	6833	ABCC8	-1.04345
ABCC9	ENSG00000069431	ABCC9	10060	ABCC9	0.494329
ABCD1	ENSG00000101986	ABCD1	215	ABCD1	-0.3357086
ABCD2	ENSG00000173208	ABCD2	225	ABCD2	-0.308975
ABCD3	ENSG00000117528	ABCD3	5825	ABCD3	0.4818255
ABCD4	ENSG00000119688	ABCD4	5826	ABCD4	0.53561
ABCE1	ENSG00000164163	ABCE1	6059	ABCE1	0.190005
ABCF1	ENSG00000204574	ABCF1	23	ABCF1	-0.392675
ABCF2	ENSG00000033050	ABCF2	10061	ABCF2	-0.245005
ABCF3	ENSG00000161204	ABCF3	55324	ABCF3	-0.530115
ABCG1	ENSG00000160179	ABCG1	9619	ABCG1	1.39487
ABCG2	ENSG00000118777	ABCG2	9429	ABCG2	-0.60599
ABCG4	ENSG00000172350	ABCG4	64137	ABCG4	-0.332225
ABCG5	ENSG00000138075	ABCG5	64240	ABCG5	-0.441995
ABCG8	ENSG00000143921	ABCG8	64241	ABCG8	-0.244045
ABHD1	ENSG00000143994	ABHD1	84696	ABHD1	-0.35302
ABHD10	ENSG00000144827	ABHD10	55347	ABHD10	-1.00326
ABHD11	ENSG00000106077	ABHD11	83451	ABHD11	0.254015
ABHD12	ENSG00000100997	ABHD12	26090	ABHD12	0.999145
ABHD12B	ENSG00000131969	ABHD12B	145447	ABHD12B	-2.07255
ABHD13	ENSG00000139826	ABHD13	84945	ABHD13	0.03259
