id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
0610007P14Rik	ENSG00000133935	ERG28	11161	ERG28	2	0.71412	0.67897	0.931292	13531	0	-0.50761	0.41713	0.43175	0.993308	7958	0	-0.50761
0610009B22Rik	ENSG00000196459	TRAPPC2	6399	TRAPPC2	3	0.38188	0.36331	0.909948	7173	0	-1.578	0.32508	0.31409	0.973725	6325	1	-1.578
0610009O20Rik	ENSG00000081791	DELE1	9812	DELE1	4	0.49898	0.47774	0.925107	9379	0	-0.9124	0.033145	0.066773	0.973725	1169	2	-0.9124
0610010F05Rik	ENSG00000162929	SANBR	84542	SANBR	4	0.91294	0.88797	0.978005	17292	0	-0.70492	0.7428	0.77391	1	14013	0	-0.70492
0610010K14Rik	ENSG00000258315	C17orf49	124944	C17orf49	8	0.53613	0.41722	0.923337	10104	0	-1.5864	0.97114	0.97624	1	18402	0	-1.5864
0610011F06Rik	ENSG00000130731	METTL26	84326	METTL26	3	0.35945	0.33546	0.906415	6727	0	0.18017	0.054071	0.10276	0.973725	1737	1	0.18017
0610030E20Rik	ENSG00000168887	C2orf68	388969	C2orf68	3	0.77705	0.72444	0.936863	14711	0	-0.66719	0.36915	0.35967	0.973725	7115	1	-0.66719
0610037L13Rik	ENSG00000162384	CZIB	54987	CZIB	3	0.095034	0.069171	0.694347	1867	1	-0.99289	0.35371	0.3511	0.973725	6874	1	-0.99289
0610040J01Rik	ENSG00000154274	C4orf19	55286	C4orf19	3	0.88898	0.86682	0.973125	16849	0	-1.2356	0.075677	0.12973	0.973725	2233	1	-1.2356
1110001J03Rik	ENSG00000164898	FMC1	154791	FMC1	4	0.0078426	0.0039475	0.31271	255	1	-0.66468	0.23637	0.26398	0.973725	4906	1	-0.66468
1110004E09Rik	ENSG00000159079	CFAP298	56683	CFAP298	4	0.80466	0.75225	0.948097	15203	0	-1.234	0.80321	0.82484	1	15087	0	-1.234
1110004F10Rik	ENSG00000110696	C11orf58	10944	C11orf58	3	0.58714	0.53331	0.925107	11058	0	-1.4713	0.55737	0.57183	1	10533	0	-1.4713
1110008F13Rik	ENSG00000101084	RAB5IF	55969	RAB5IF	4	0.56469	0.5473	0.925107	10637	0	-1.3928	0.28941	0.31027	0.973725	5730	1	-1.3928
1110008L16Rik	ENSG00000100890	PRORP	9692	PRORP	2	0.067304	0.048955	0.694347	1345	1	-1.6977	0.9704	0.97329	1	18390	0	-1.6977
1110008P14Rik	ENSG00000171159	BBLN	79095	BBLN	3	0.82059	0.77982	0.954567	15473	0	-1.3339	0.8973	0.91728	1	16961	0	-1.3339
1110012L19Rik	ENSG00000197620	EOLA1	91966	EOLA1	4	0.2167	0.16131	0.755979	4159	0	-1.5239	0.708	0.74248	1	13378	0	-1.5239
1110017D15Rik	ENSG00000164972	SPMIP6	84688	SPMIP6	4	0.87971	0.8318	0.967056	16683	0	-1.2803	0.55881	0.5449	1	10553	0	-1.2803
1110025L11Rik	ENSG00000212938	KRTAP6-3	337968	KRTAP6-3	3	0.65663	0.59596	0.925107	12399	0	-1.4717	0.83822	0.86381	1	15801	0	-1.4717
1110032A03Rik	ENSG00000137720	CFAP68	64776	CFAP68	4	0.50598	0.48087	0.925107	9511	0	-1.4115	0.76209	0.7875	1	14351	0	-1.4115
1110032F04Rik	ENSG00000180044	C3orf80	401097	C3orf80	3	0.88764	0.86476	0.973125	16814	0	-1.1331	0.44928	0.4322	0.993308	8557	0	-1.1331
1110034G24Rik	ENSG00000171984	SHLD1	149840	SHLD1	3	0.71259	0.65484	0.92658	13500	0	-1.1908	0.77793	0.7911	1	14641	0	-1.1908
1110037F02Rik	ENSG00000164944	VIRMA	25962	VIRMA	2	0.78982	0.75902	0.948798	14918	0	-1.1967	0.6349	0.65075	1	11948	0	-1.1967
1110038F14Rik	ENSG00000182307	C8orf33	65265	C8orf33	2	0.093465	0.069078	0.694347	1835	1	-1.4143	0.5593	0.58213	1	10563	0	-1.4143
1110051M20Rik	ENSG00000149179	CSTPP1	79096	CSTPP1	1	0.37845	0.33166	0.903656	7110	0	-1.4142	0.62155	0.66834	1	11714	0	-1.4142
