ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	symbol	direct
regulation of MAPK cascade	18	-0.624651409716607	-1.80730985841388	0.00101419878296146	0.325219743069642	0.312444396996548	2661	tags=56%, list=23%, signal=43%	161742/10159/50488/2324/5972/10298/5062/23043/4653/9402	ATP6AP2/FLT4/GRAP2/MINK1/MYOC/PAK2/PAK4/REN/SPRED1/TNIK	pos.rank
fibrinolysis	17	-0.6173564271234	-1.76154049640793	0.00101419878296146	0.325219743069642	0.312444396996548	2588	tags=53%, list=22%, signal=41%	2161/2811/2244/5627/5340/5345/3818/710/3273	F12/FGB/GP1BA/HRG/KLKB1/PLG/PROS1/SERPINF2/SERPING1	pos.rank
protein autophosphorylation	93	-0.416075097272177	-1.4664829870436	0.000999000999000999	0.325219743069642	0.312444396996548	4391	tags=55%, list=38%, signal=34%	5156/9262/57551/2263/8550/6794/29904/55781/3654/23617/3055/25865/1956/10783/815/8408/780/814/817/9175/2043/1196/50488/2242/2324/2264/5062/23043/1613/51755/5747/8737/23178/4294/9748/3645/5587/4751/27102/23604/2321/4296/9943/11184/6011/9261/10645/56975/2011/5292/2050	CAMK2A/CAMK2D/CAMK4/CAMKK2/CDK12/CLK2/DAPK2/DAPK3/DDR1/EEF2K/EGFR/EIF2AK1/EPHA4/EPHB4/FAM20C/FES/FGFR2/FGFR4/FLT1/FLT4/GRK1/HCK/INSRR/IRAK1/MAP3K10/MAP3K11/MAP3K13/MAP4K1/MAPKAPK2/MAPKAPK5/MARK2/MINK1/NEK2/NEK6/OXSR1/PAK2/PASK/PDGFRA/PIM1/PRKD1/PRKD2/PTK2/RIOK2/RIPK1/SLK/STK11/STK17B/TAOK1/TNIK/TSSK2/ULK1	pos.rank
protein phosphorylation	256	-0.381510329342632	-1.42605376398855	0.000999000999000999	0.325219743069642	0.312444396996548	3712	tags=48%, list=32%, signal=33%	5129/8536/65125/8558/23012/10420/2048/3654/23617/65018/7534/8899/7048/29110/3055/25865/8997/1198/5580/84630/5599/10783/815/157/8408/5571/11329/5601/9475/5261/5163/9874/1445/814/140901/2870/130399/817/5127/1020/81788/9175/10000/2043/92/1196/5604/4140/6347/50488/2242/9989/8445/11183/864/93/10298/53632/9149/5062/10595/23678/8444/28996/2868/152110/167359/5583/23043/1111/1613/51755/5747/23178/5578/5894/22858/6446/5593/22848/9748/2042/7006/9252/11011/4751/3716/27102/91807/1455/23604/4296/30849/9943/6195/11184/6011/55561/9261/7481/10645/613/5586/7297/2534/7042/5566/640/83983/11213/56975/10114/5585/4752/1760/2051/2011/3609/9064/51422/5532/5292	AAK1/ACVR1C/ACVR2A/ACVR2B/AKT3/BCR/BLK/CAMK1/CAMK2A/CAMK2D/CAMK4/CAMKK2/CCL2/CDC42BPG/CDK10/CDK12/CDK16/CDK18/CDK5/CHEK1/CILK1/CLK2/CLK3/CSK/CSNK1G2/DAPK2/DAPK3/DMPK/DYRK1B/DYRK2/DYRK3/EIF2AK1/EPHA3/EPHA4/EPHB2/EPHB6/ERN2/FAM20C/FES/FYN/GRK1/GRK3/GRK4/GRK6/HCK/HIPK2/HIPK3/ILF3/IRAK1/IRAK3/JAK1/KALRN/MAP2K1/MAP3K11/MAP3K13/MAP3K6/MAP4K1/MAP4K5/MAPK8/MAPK9/MAPKAPK2/MARK2/MARK3/MINK1/MYLK3/NEK10/NEK2/NEK3/NEK6/NIM1K/NUAK2/OXSR1/PAK2/PAK4/PASK/PDK1/PHKG2/PIK3R4/PIM1/PINK1/PKN1/PKN2/PPP3CB/PPP4R1/PRKACA/PRKAG1/PRKAG2/PRKAG3/PRKCA/PRKCD/PRKCH/PRKD2/PRKG2/PRPF4B/PTK2/RAF1/ROCK2/RPS6KA1/RPS6KA5/RUNX3/SGK1/SGK3/SLK/STK35/STK38/STK38L/TBK1/TEC/TESK2/TGFB2/TGFBR2/TLK1/TLK2/TNIK/TSSK2/TSSK6/TTBK1/TYK2/ULK1/WNK1/WNT11/YWHAZ	pos.rank
intracellular signal transduction	247	-0.344806532656487	-1.28677989789179	0.000999000999000999	0.325219743069642	0.312444396996548	3745	tags=43%, list=32%, signal=30%	941/55789/65125/23012/3654/8835/23617/65018/200576/6197/3055/54900/25865/8997/151556/55824/5580/10842/25970/1761/10966/11329/51473/5598/9874/814/4157/55364/7305/1608/7857/81788/26118/1654/10000/3937/208/84727/51135/91614/9306/4140/6386/11183/26027/8525/10298/53632/5062/162989/6000/23678/3059/10718/10276/167359/5583/23043/1111/2984/1613/10758/23268/8737/23178/5578/1857/23770/22858/7037/6446/127247/7006/9252/5921/5587/11011/3716/10392/4772/5663/1856/23604/186/10009/9943/115/3315/6195/11184/1606/9261/5586/7297/2534/80851/640/83983/11213/5585/5336/2011/112/1609/1641/92369/51422	ACOT11/ADCY6/ADCY9/AGTR2/AKT2/AKT3/ASB17/BLK/CAMK4/CD80/CHEK1/CILK1/DAPK2/DAPK3/DCDC2/DCX/DDX3X/DEDD2/DEPDC1B/DEPDC7/DGKA/DGKG/DGKQ/DGKZ/DMRT1/DNMBP/DVL2/DVL3/FKBP8/FYN/GPR155/GUCY2C/HCK/HCLS1/HSPB1/IMPACT/IRAK1/IRAK3/IRAK4/JAK1/KALRN/LAX1/LCP2/MAP4K1/MAP4K5/MAPK7/MAPKAPK2/MARK2/MARK3/MC1R/NET1/NFATC1/NIM1K/NOD1/NRG3/NUAK2/OXSR1/PAG1/PAK2/PAK4/PASK/PIKFYVE/PINK1/PKN1/PKN2/PLCG2/PPP1R17/PRKAG2/PRKAG3/PRKCA/PRKCD/PRKCH/PRKD1/PRKD2/PSEN1/RAB40B/RASA1/RGS7/RIPK1/RPS6KA1/RPS6KA3/RPS6KA5/SCG2/SDCBP/SGK1/SGK3/SH2B1/SH3BP5L/SOCS2/SOCS6/SPSB2/SPSB4/STK38/STK38L/TEC/TFRC/TLK1/TLK2/TNIK/TRAF3IP2/TSSK2/TSSK6/TYK2/TYROBP/WNK1/WSB1/ZBTB33	pos.rank
positive regulation of DNA-templated transcription	426	-0.333409944720071	-1.26713034277485	0.000999000999000999	0.325219743069642	0.312444396996548	3842	tags=41%, list=33%, signal=29%	6944/3398/5727/4150/3087/941/1997/9759/55795/4149/7041/3624/7475/3275/25805/9586/163732/10445/4800/64769/27302/8805/10626/6883/51322/57658/5606/6672/3182/7080/5705/285704/7528/2623/119392/1956/11091/8322/6772/5987/8945/6182/64210/7026/348/3553/1051/6422/3608/5494/8607/29079/468/222546/1959/6737/814/8554/3659/27005/668/2100/2494/133396/3569/10025/10413/3170/5465/80853/3104/29117/79618/9792/57326/6602/9830/5604/54765/5931/7020/56943/26039/27131/84838/2965/6047/8148/1749/864/80317/7018/87/6257/9921/83666/392255/23541/9149/7030/7490/4831/54870/9935/28996/322/10155/3725/25988/9572/1857/80314/84148/79366/81603/7474/2002/79960/3664/51412/7019/29969/4772/1822/5663/2000/51085/84193/9314/7023/6049/186/54815/4088/7476/164684/6195/51176/4300/890/341032/4793/8092/7481/10645/2099/7706/10927/9355/4760/6662/22954/1616/23476/57459/5605/9440/5585/6927/23291/11036/6601/1499/2547/3184/10522/3609/4783/88/3207/6878/23598/55167/5532/5292/60491	ACTL6B/ACTN1/ACTN2/AGTR2/ALX1/APBB1/APOE/ATF4/ATN1/BAMBI/BMP10/BRD4/BRD7/BTRC/POU2AF2/CALCOCO1/CAMK4/CAMKK2/CCNA2/CD80/CEBPB/CITED4/CREB5/CTNNB1/DAXX/DEAF1/DLX5/DVL3/DYRK1B/EGFR/EGR2/ELF1/ELF4/ELK1/ENY2/EPC1/ESR1/ESR2/FBXW11/FOXA2/FOXL2/FZD4/GATA1/GATAD2A/GATAD2B/GDF6/GTF2A1L/GTF2H1/HDAC4/HHEX/HINFP/HIPK2/HMBOX1/HMGN5/HNF1A/HNRNPAB/HNRNPD/HOXA11/ID2/IL1B/IL31RA/IL6/ILF2/ILF3/INHBA/IRF1/IRF6/JADE1/JUN/KAT8/KDM7A/KLF4/LEF1/LHX2/MAFB/MAP2K1/MAP2K2/MAP2K3/MAX/MAZ/MCRS1/MDFIC/MEAF6/MED16/MED17/MED4/MLLT3/MLXIPL/MMS19/MRPL12/MSL2/NEUROD1/NFATC1/NFIL3/NFKBIB/NFYA/NIF3L1/NKX2-1/NME2/NR1D1/NR2F2/NR5A2/PARP9/PATZ1/PBXIP1/PCID2/PIAS1/PIM1/PKN1/PPARA/PPM1A/PPP3CB/PRMT2/PSEN1/PSMC5/PTCH1/QRICH1/RBBP7/RFX6/RGMB/RNF10/RNF4/RNF6/RPS6KA1/RUNX3/RUVBL1/RXRB/SEC14L2/SERTAD2/SETD3/SFR1/SFRP1/SMAD3/SMARCC2/SMARCD1/SNX5/SOX9/SP100/SPIN1/SS18L1/STAT1/TAF12/TAF15/TAF6/TF/TFAM/TFAP2A/TFAP4/TFE3/TGFB1I1/TRIM14/TRIM16/TRIM21/TRIM24/TRIM25/TRIM27/TRIM28/TRIM32/TRIM44/TRIM8/USP21/VPS72/WAC/WBP2NL/WDR5/WNT11/WNT5A/WNT6/WNT7A/WT1/XRCC6/YAP1/YY1/ZBTB48/ZKSCAN3/ZNF496	pos.rank
positive regulation of catalytic activity	13	-0.665587178742169	-1.81183282292807	0.00308959835221421	0.445741821888611	0.428232103751177	1819	tags=62%, list=16%, signal=52%	2264/10519/857/7520/5663/2395/6647/65979	CAV1/CIB1/FGFR4/FXN/PHACTR4/PSEN1/SOD1/XRCC5	pos.rank
hematopoietic stem cell differentiation	16	-0.622918331740386	-1.76143271014298	0.00305188199389624	0.445741821888611	0.428232103751177	2998	tags=62%, list=26%, signal=46%	6422/6722/4222/7538/7520/2131/4300/55716/596/1106	BCL2/CHD2/EXT1/LMBR1L/MEOX1/MLLT3/SFRP1/SRF/XRCC5/ZFP36	pos.rank
somite development	14	-0.63249416008383	-1.75231106226233	0.00509683995922528	0.445741821888611	0.428232103751177	2515	tags=64%, list=22%, signal=50%	5930/4222/4223/9241/2487/7481/84695/6608/4522	FRZB/LOXL3/MEOX1/MEOX2/MTHFD1/NOG/RBBP6/SMO/WNT11	pos.rank
positive regulation of cell motility	16	-0.614136363398638	-1.73659984601234	0.00305188199389624	0.445741821888611	0.428232103751177	2331	tags=62%, list=20%, signal=50%	6366/208/7018/55246/9806/7291/22954/390664/5605/284119	AKT2/C1QTNF8/CAVIN1/CCDC25/CCL21/MAP2K2/SPOCK2/TF/TRIM32/TWIST1	pos.rank
